Country,Year,GDP,Population,Urban_Population,Electricity_Access,Urban_Electricity_Acess,Brightness,UPC,EAC,BC,int_B_UP,int_B_EA,int_UP_EA,int_ALL
Bolivia,2019,24.43428154,16.27265085,15.9127278,4.565389316,4.610157727,12.84404632,0.29701280000000096,0.17347331599999993,0.6276013200000001,0.18640562533689664,0.1088720821063771,0.051523795310444945,0.032336401948245067
Bolivia,2020,24.32412915,16.28499049,15.93007114,4.587006215,4.614129927,12.84934033,0.314356140000001,0.19509021499999957,0.6328953300000002,0.1989545329628269,0.12347168600219571,0.06132780693917016,0.0388140826109424
Bolivia,2021,24.42224689,16.29518362,15.94527145,4.601162165,4.615120517,12.85078478,0.3295564500000001,0.2092461649999997,0.6343397799999995,0.2090507659905809,0.1327331662719434,0.06895842331351418,0.04374307107384142
Bolivia,2022,24.5076437,16.30682621,15.96193868,4.614129927,4.615120517,12.92400939,0.3462236799999996,0.22221392699999942,0.7075643899999999,0.2449755469427549,0.1572306617072591,0.07693572355319107,0.05443697830512227
Bolivia,2023,24.53293265,16.32055965,15.98068566,4.613138356,4.614129927,13.00416315,0.3649706600000009,0.22122235600000018,0.7877181499999999,0.28749401309947964,0.1742608650069615,0.08073966927607522,0.06360010291376181
Bosnia a,2019,23.74284201,15.02313688,14.30212545,4.615120517,4.615120517,12.04682272,-1.3135895499999997,0.2232045170000001,-0.16962228000000046,0.22281405445517455,-0.03786045907983888,-0.2931991210439974,0.04973310340547896
Bosnia a,2020,23.73023655,15.00923604,14.29629462,4.615120517,4.615120517,12.04183505,-1.3194203800000004,0.2232045170000001,-0.17460995000000068,0.23038392658078197,-0.03897372955314432,-0.29450058863785666,0.05142273305702692
Bosnia a,2021,23.88758884,14.99259756,14.28788388,4.615120517,4.615120517,12.1797172,-1.327831119999999,0.2232045170000001,-0.03672779999999953,0.04876831580913534,-0.0081978108594725,-0.29637790379716894,0.010885308375081523
Bosnia a,2022,23.9233528,14.98016118,14.28382902,4.615120517,4.615120517,12.19131538,-1.3318859799999991,0.2232045170000001,-0.02512961999999952,0.03346978856072694,-0.0056090446944934355,-0.2972829668649716,0.007470607989789184
Bosnia a,2023,24.03798924,14.97398608,14.28620457,4.615120517,4.615120517,12.2658993,-1.3295104299999991,0.2232045170000001,0.04945429999999895,-0.06575000765834757,0.01103842314507287,-0.2967527333746123,-0.014675698702127777
Botswana,2019,23.54022474,14.66227285,14.30805204,4.264087337,4.48863637,11.12438765,-1.30766296,-0.12782866299999984,-1.092057350000001,1.4280429467907574,0.13959623096982302,0.16715680783142228,-0.18254482059484245
Botswana,2020,23.42866527,14.67666694,14.3324431,4.287715955,4.517431272,11.16789639,-1.283271899999999,-0.1042000449999998,-1.048548610000001,1.3455729669970593,0.10925881234668734,0.13371698972723514,-0.14020876371187682
Botswana,2021,23.65451007,14.69157995,14.35694608,4.313480092,4.544358047,11.19817972,-1.2587689199999996,-0.07843590800000033,-1.0182652799999996,1.2817606867790967,0.07986856182167455,0.09873268320237975,-0.10053606330622247
Botswana,2022,23.73496786,14.70746474,14.38206734,4.342505877,4.569543008,11.24412035,-1.233647659999999,-0.04941012300000036,-0.9723246500000009,1.1995060292328192,0.04804268055243235,0.060954682619262575,-0.05926774044363562
